""
"time"," id"," long"," lat"," angle"," speed"," RSSI"," Throughput"
"405.00","21","23.763905","37.969637","318.372355","4.884132","56.41239367244889","28.206196836224443"
"405.00","22","23.764527","37.969049","318.577189","5.616441","58.245633054190336","29.122816527095168"
"405.00","23","23.765192","37.968454","311.719326","5.421137","72.0107353266053","36.00536766330265"
"405.00","24","23.766468","37.967734","108.770855","4.946208","49.81718847794426","24.90859423897213"
"405.00","25","23.765440","37.968157","127.780715","4.590662","78.10745180776811","39.05372590388406"
"405.00","6","23.760860","37.971344","298.342297","4.620600","48.033135771487935","24.016567885743967"
"405.00","8","23.773927","37.967111","81.639112","4.926181","65.82340700739435","32.911703503697176"
"406.00","10","23.760180","37.971640","292.854021","4.764503","55.51974568513434","27.75987284256717"
"406.00","11","23.761053","37.971254","299.483854","4.620600","51.81179594245076","25.905897971225375"
"406.00","12","23.760934","37.971310","298.677749","4.620600","53.046492433529494","26.523246216764747"
"406.00","13","23.773842","37.967103","81.639112","4.926181","62.09180258026072","31.04590129013036"
"406.00","14","23.773702","37.967090","78.246507","4.926181","57.502059169347966","28.751029584673983"
"406.00","15","23.761171","37.971197","299.483854","4.620600","51.01315138435469","25.50657569217735"
"406.00","16","23.771548","37.967077","102.707945","5.153207","23.46962047866713","11.734810239333564"
"406.00","17","23.763688","37.969841","317.191264","4.884129","81.41926709360578","40.70963354680289"
"406.00","18","23.770600","37.967281","103.085584","5.234089","49.87702235981753","24.938511179908765"
"406.00","19","23.769937","37.967377","94.438598","5.205408","47.60982712137351","23.804913560686757"
"406.00","20","23.763779","37.969756","318.372355","4.884130","61.67238944458013","30.836194722290067"
"406.00","21","23.763870","37.969671","318.372355","4.884132","60.914311285685145","30.457155642842572"
"406.00","22","23.764486","37.969088","318.452602","5.616441","55.37962167243741","27.689810836218705"
"406.00","23","23.765147","37.968487","311.719326","5.421137","65.77996825522992","32.88998412761496"
"406.00","24","23.766521","37.967718","108.806336","4.946208","44.77626980310315","22.388134901551574"
"406.00","25","23.765481","37.968132","125.584981","4.590662","61.77213581210795","30.886067906053974"
"406.00","6","23.760815","37.971364","298.342297","4.620600","57.529619591587654","28.764809795793827"
"406.00","8","23.773983","37.967116","81.639112","4.926181","80.17644711024701","40.088223555123506"
"407.00","10","23.760131","37.971658","292.854021","4.764503","64.88573982344496","32.44286991172248"
"407.00","11","23.761008","37.971275","299.483854","4.620600","67.84968692242369","33.92484346121184"
"407.00","12","23.760889","37.971331","298.342297","4.620600","55.214740257724586","27.607370128862293"
"407.00","13","23.773898","37.967108","81.639112","4.926181","48.24964867431646","24.12482433715823"
"407.00","14","23.773758","37.967095","80.950860","4.926181","53.02641498524333","26.513207492621664"
"407.00","15","23.761126","37.971219","299.483854","4.620600","59.72162237530434","29.86081118765217"
"407.00","16","23.771605","37.967066","102.707945","5.153207","46.68335382403077","23.341676912015384"
"407.00","17","23.763651","37.969874","317.191264","4.884129","53.10711481724426","26.553557408622126"
"407.00","18","23.770658","37.967269","103.085584","5.234089","64.98801479418437","32.49400739709218"
"407.00","19","23.769996","37.967372","94.438598","5.205408","43.105205304175186","21.552602652087593"
"407.00","20","23.763744","37.969790","318.372355","4.884130","37.45595601580612","18.72797800790306"
"407.00","21","23.763834","37.969705","318.372355","4.884131","47.29871605954253","23.649358029771264"
"407.00","22","23.764445","37.969127","318.372355","5.616441","30.500369479948475","15.250184739974237"
"407.00","23","23.765103","37.968522","313.192360","5.421137","66.62693489073042","33.31346744536521"
"407.00","24","23.766575","37.967705","105.437107","4.946208","65.65980247467228","32.82990123733614"
"407.00","25","23.765524","37.968108","122.984432","4.590662","50.1833486193776","25.0916743096888"
